id,created_at,name,ratio,user_id,description,level,updated_at,experience
0a85b514-6ea7-49e5-b0f6-7ac717abd180,2026-02-14 07:06:41.070029+00,Архитектура ЭВМ,4,6054767d-c981-4298-8cea-7531c3b5d401,,1,2026-02-14 07:46:57.146303,127
1bbb9e61-0f65-4364-bba1-eda79e9db58f,2026-01-25 07:56:45.931192+00,Figmamaster is better than Kolya,4,72e573aa-1417-4256-9c85-5f0378ac5d05,пытаюсь обогнать скил Коли в фигме,10,2026-02-18 08:55:36.859392,3177
2a915e22-07a9-4f16-97dd-91b21e45794a,2026-02-08 07:02:06.758995+00,Основы работы Линукс,4,6054767d-c981-4298-8cea-7531c3b5d401,Тут будет что касается вуза. И в дальнейшем наверное сам по разбираюсь как делать сервер на линуксе,2,2026-02-14 09:11:22.648358,568
327c102a-4d3e-4ed1-b5b6-5ec7e4a9af2f,2026-02-15 07:08:40.029383+00,"история, как моя проф. деятельность",3,72e573aa-1417-4256-9c85-5f0378ac5d05,буду занимать историей в рамках своей предполагаемой будущей проффесии,1,2026-02-15 07:08:40.029383,0
3ffc5b35-1bba-410c-b9a8-cafac569d5b8,2026-02-10 18:35:51.048893+00,Чтение Худ. литературы,5,6054767d-c981-4298-8cea-7531c3b5d401,,1,2026-02-14 07:00:20.655819,189
4976bc6e-3249-4554-b28a-e76d76a94120,2026-02-15 06:52:15.377829+00,МЛ и ТА,4,6054767d-c981-4298-8cea-7531c3b5d401,,1,2026-02-15 10:44:43.077068,175
4ce203b9-0f33-449d-b327-ba2e5824f800,2026-02-05 08:39:22.951766+00,React,4,6054767d-c981-4298-8cea-7531c3b5d401,я конкретно посмотрю курс и позанимаюсь практикой. и возможно потом когда нибудь буду добавлять опыт,10,2026-02-05 08:42:52.796215,3121
59610f33-9c44-4240-a241-f097f8b40efa,2026-02-05 08:49:56.598875+00,Спорт,5,6054767d-c981-4298-8cea-7531c3b5d401,В этим деле очень важно дисциплина. просто регулярно не обязательно убиваться,1,2026-02-11 15:13:16.573372,267
601ea92f-876f-4e60-a672-0f4f6bebdbce,2026-02-08 06:59:06.664784+00,Алгоритмы и структуры данных,5,6054767d-c981-4298-8cea-7531c3b5d401,Тут я буду изучать эту тему в рамках вуза. И надеюсь что найду курс на литкоде и уже буду там прокачвать это,7,2026-02-16 15:14:49.429523,2071
8e3a62e9-656a-41f8-b5e6-c1f830392f6f,2026-02-05 08:49:02.203892+00,Игра на гитаре,5,6054767d-c981-4298-8cea-7531c3b5d401,Постараюсь регулярно поиграть. играть на гитаре прикольно. можно в любой момент успокоить душу песней которую ты сам воспроизводишь,2,2026-02-17 16:08:36.015574,488
a01c7c51-554b-4e43-bccd-5c36e94c7348,2026-02-05 08:51:12.13889+00,Чтение Проф. литературы,5,6054767d-c981-4298-8cea-7531c3b5d401,Во первых это интересно а во вторых это полезно и пользу очень легко заметить. А много и не надо просто читай по пол часа в день и будешь молодцом,4,2026-02-14 13:41:53.0631,924
a584ede4-faca-4557-bcdf-0cb2bc06ffad,2026-02-15 06:49:31.612856+00,Математический Ангализ,5,6054767d-c981-4298-8cea-7531c3b5d401,,1,2026-02-15 08:36:53.965768,13
d0dc4850-fb02-4368-8c15-f9674912e260,2026-02-11 05:56:59.556422+00,Алгебра и Геометрия,5,6054767d-c981-4298-8cea-7531c3b5d401,,2,2026-02-15 08:37:34.961834,449
d395f5e0-cf7a-45ae-b991-4a15a7026ac4,2026-02-16 06:11:00.462872+00,спорт,3,72e573aa-1417-4256-9c85-5f0378ac5d05,"все, что касается здоровья моего тела: зарядка, силовые упражнения и тд..",2,2026-02-17 12:47:51.923229,470
e46e8e5e-dd10-47c8-8d54-39c1ec54efa5,2026-02-05 08:46:12.186744+00,next js,4,6054767d-c981-4298-8cea-7531c3b5d401,Как с react я поbзучую разберусь хорошенько и потом перейду в gameli,10,2026-02-07 08:29:41.086618,2853
ede0ce32-3a19-4dc9-9488-f9970e521171,2026-02-05 08:43:36.507712+00,Gameli,4,6054767d-c981-4298-8cea-7531c3b5d401,Тут я буду много учиться,21,2026-02-17 20:05:04.006713,8439
f46e39ca-057b-4650-87f1-7a9635470e84,2026-02-11 05:56:28.576518+00,Дискретная математика,5,6054767d-c981-4298-8cea-7531c3b5d401,,4,2026-02-13 10:04:43.544337,1031
